"ind","PH","FT","Sub-population"
"Hv-2011S-3-00190",47.8394352648014,78.0408881414212,"HvDRR03"
"Hv-2011S-3-00192",62.7815921719368,74.7294529155174,"HvDRR03"
"Hv-2011S-3-00193",52.1289126478502,79.390672232695,"HvDRR03"
"Hv-2011S-3-00194",68.2815921719368,68.3291670479633,"HvDRR03"
"Hv-2011S-3-00195",62.0315921719368,78.5222669706498,"HvDRR03"
"Hv-2011S-3-00196",68.7955793145169,75.390672232695,"HvDRR03"
"Hv-2011S-3-00197",58.5315921719368,78.5222669706498,"HvDRR03"
"Hv-2011S-3-00198",58.0565433020881,69.6430249716786,"HvDRR03"
"Hv-2011S-3-00199",57.0315921719368,78.8556003039831,"HvDRR03"
"Hv-2011S-3-00200",45.7736513393747,75.7404563239687,"HvDRR03"
"Hv-2011S-3-00201",62.5315921719367,77.3291670479632,"HvDRR03"
"Hv-2011S-3-00202",57.1289126478502,76.7404563239686,"HvDRR03"
"Hv-2011S-3-00203",67.1240248923283,74.7404563239687,"HvDRR03"
"Hv-2011S-3-00204",65.0315921719368,69.0791670479632,"HvDRR03"
"Hv-2011S-3-00206",61.1289126478502,79.390672232695,"HvDRR03"
"Hv-2011S-3-00207",67.5315921719368,62.0791670479632,"HvDRR03"
"Hv-2011S-3-00208",70.5315921719367,68.8291670479632,"HvDRR03"
"Hv-2011S-3-00212",60.5315921719368,71.8291670479632,"HvDRR03"
"Hv-2011S-3-00213",55.5315921719368,80.5222669706498,"HvDRR03"
"Hv-2011S-3-00214",25.8394352648015,NA,"HvDRR03"
"Hv-2011S-3-00215",72.0315921719367,68.8291670479632,"HvDRR03"
"Hv-2011S-3-00216",69.8394352648015,75.0408881414212,"HvDRR03"
"Hv-2011S-3-00219",48.2815921719368,81.890672232695,"HvDRR03"
"Hv-2011S-3-00221",55.8394352648015,75.0408881414212,"HvDRR03"
"Hv-2011S-3-00222",63.7955793145169,71.1770705817644,"HvDRR03"
"Hv-2011S-3-00224",71.7955793145169,63.8437372484311,"HvDRR03"
"Hv-2011S-3-00226",56.8394352648015,75.0408881414212,"HvDRR03"
"Hv-2011S-3-00227",67.8394352648015,85.0408881414211,"HvDRR03"
"Hv-2011S-3-00228",62.7815921719368,66.0791670479632,"HvDRR03"
"Hv-2011S-3-00229",53.8394352648014,85.0408881414211,"HvDRR03"
"Hv-2011S-3-00231",57.7815921719367,78.8556003039831,"HvDRR03"
"Hv-2011S-3-00232",63.5315921719368,62.5562373846489,"HvDRR03"
"Hv-2011S-3-00234",64.5315921719367,69.5791670479632,"HvDRR03"
"Hv-2011S-3-00235",53.7955793145169,78.390672232695,"HvDRR03"
"Hv-2011S-3-00239",70.2815921719368,68.896119582184,"HvDRR44"
"Hv-2011S-3-00244",72.8394352648014,72.0408881414212,"HvDRR03"
"Hv-2011S-3-00245",69.0315921719367,70.0791670479632,"HvDRR03"
"Hv-2011S-3-00248",40.7736513393747,87.7404563239687,"HvDRR03"
"Hv-2011S-3-00250",66.2815921719368,65.0791670479632,"HvDRR03"
"Hv-2011S-3-00252",44.2815921719368,84.390672232695,"HvDRR03"
"Hv-2011S-3-00253",58.7815921719368,74.1889336373165,"HvDRR03"
"Hv-2011S-3-00254",50.8394352648014,62.0408881414211,"HvDRR03"
"Hv-2011S-3-00255",60.8394352648014,78.0408881414212,"HvDRR03"
"Hv-2011S-3-00256",69.0007812651396,65.8587372892947,"HvDRR03"
"Hv-2011S-3-00257",58.7815921719368,66.3291670479632,"HvDRR03"
"Hv-2011S-3-00258",28.2736513393746,78.7404563239687,"HvDRR03"
"Hv-2011S-3-00260",61.901030300442,73.8906722326949,"HvDRR03"
"Hv-2011S-3-00261",65.7815921719368,65.2294529155174,"HvDRR03"
"Hv-2011S-3-00264",65.8394352648015,85.0408881414211,"HvDRR03"
"Hv-2011S-3-00267",56.0315921719368,73.5791670479632,"HvDRR03"
"Hv-2011S-3-00269",24.423277786421,NA,"HvDRR03"
"Hv-2011S-3-00272",57.8394352648015,85.0408881414211,"HvDRR03"
"Hv-2011S-3-00273",NA,NA,"HvDRR03"
"Hv-2011S-3-00274",54.5315921719367,63.5791670479632,"HvDRR03"
"Hv-2011S-3-00275",NA,NA,"HvDRR03"
"Hv-2011S-3-00276",60.8394352648015,75.0408881414212,"HvDRR03"
"Hv-2011S-3-00279",59.0315921719368,76.1889336373165,"HvDRR03"
"Hv-2011S-3-00282",66.5315921719367,70.3291670479632,"HvDRR03"
"Hv-2011S-3-00283",70.2815921719367,69.0791670479632,"HvDRR03"
"Hv-2011S-3-00285",67.8394352648015,78.0408881414212,"HvDRR03"
"Hv-2011S-3-00287",67.7815921719367,65.3291670479633,"HvDRR03"
"Hv-2011S-3-00288",78.2815921719367,66.3291670479632,"HvDRR03"
"Hv-2011S-3-00289",63.5676969671086,65.1889336373165,"HvDRR03"
"Hv-2011S-3-00292",65.2815921719368,69.5791670479632,"HvDRR03"
"Hv-2011S-3-00293",63.5315921719367,70.5791670479632,"HvDRR03"
"Hv-2011S-3-00294",71.0315921719368,69.3291670479633,"HvDRR03"
"Hv-2011S-3-00296",64.6441804854669,71.8318540251398,"HvDRR04"
"Hv-2011S-3-00297",60.7999999456577,74.6154566760925,"HvDRR04"
"Hv-2011S-3-00299",61.7815921719368,71.3641570063983,"HvDRR04"
"Hv-2011S-3-00300",63.4988279664349,82.7606151886097,"HvDRR04"
"Hv-2011S-3-00304",65.5999999456577,69.3579798916543,"HvDRR04"
"Hv-2011S-3-00305",53.5315921719367,70.8556003039831,"HvDRR04"
"Hv-2011S-3-00306",68.0315921719368,67.40578879338,"HvDRR04"
"Hv-2011S-3-00307",68.9999999456578,72.7481633054228,"HvDRR04"
"Hv-2011S-3-00308",62.1240248923283,74.7404563239687,"HvDRR04"
"Hv-2011S-3-00309",59.1508990165131,70.5289865921968,"HvDRR04"
"Hv-2011S-3-00311",63.5999999456577,74.9568688499217,"HvDRR04"
"Hv-2011S-3-00312",66.7999999456577,77.4013132943661,"HvDRR04"
"Hv-2011S-3-00313",59.1999999456577,79.6154566760925,"HvDRR04"
